_id,userId,name,email,mobile,dateOfBirth,gender,state,district,city,levelPlayed,representedTeam,height,weight,profilePicture
prof_0048,usr_0048,Swati Banerjee,athlete048@demo.kreedatech.local,+91 9920612879,2005-09-01,female,Uttar Pradesh,Lucknow,Gomti Nagar,District,Mumbai Warriors AC,177,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Swati%20Banerjee
prof_0049,usr_0049,Dinesh Pandey,athlete049@demo.kreedatech.local,+91 9717106939,1999-08-10,male,West Bengal,Kolkata,Park Street,National,Bengaluru Bulls Youth,166,65,https://api.dicebear.com/7.x/avataaars/svg?seed=Dinesh%20Pandey
prof_0050,usr_0050,Pooja Verma,athlete050@demo.kreedatech.local,+91 9785047214,2006-04-11,female,Telangana,Hyderabad,Madhapur,State,North East United Academy,170,56,https://api.dicebear.com/7.x/avataaars/svg?seed=Pooja%20Verma
prof_0051,usr_0051,Tanvi Sen,athlete051@demo.kreedatech.local,+91 9331903669,2002-05-11,female,Tamil Nadu,Chennai,Adyar,District,Hyderabad Strikers,160,59,https://api.dicebear.com/7.x/avataaars/svg?seed=Tanvi%20Sen
prof_0052,usr_0052,Vandana Gupta,athlete052@demo.kreedatech.local,+91 7018223982,1996-07-23,female,Bihar,Patna,Boring Road,State,Goa Athletics Association,178,69,https://api.dicebear.com/7.x/avataaars/svg?seed=Vandana%20Gupta
prof_0053,usr_0053,Suresh Chawla,athlete053@demo.kreedatech.local,+91 8893927513,1999-01-01,male,Maharashtra,Mumbai,Borivali,State,Mumbai Warriors AC,184,77,https://api.dicebear.com/7.x/avataaars/svg?seed=Suresh%20Chawla
prof_0054,usr_0054,Payal Bose,athlete054@demo.kreedatech.local,+91 9722633792,2002-03-28,female,Karnataka,Mangalore,Kadri,International,UP Strikers,168,67,https://api.dicebear.com/7.x/avataaars/svg?seed=Payal%20Bose
prof_0055,usr_0055,Aman Dutta,athlete055@demo.kreedatech.local,+91 9831586441,1998-04-15,male,West Bengal,Kolkata,Ballygunge,District,Tamil Nadu Tigers,181,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Aman%20Dutta
prof_0056,usr_0056,Vandana Mehta,athlete056@demo.kreedatech.local,+91 9767740743,2004-12-05,female,Uttar Pradesh,Agra,Taj Ganj,State,Delhi Capitals Academy,170,59,https://api.dicebear.com/7.x/avataaars/svg?seed=Vandana%20Mehta
prof_0057,usr_0057,Rohan Joshi,athlete057@demo.kreedatech.local,+91 7073692188,2007-02-28,male,Punjab,Ludhiana,Model Town,State,Kolkata Runners,169,68,https://api.dicebear.com/7.x/avataaars/svg?seed=Rohan%20Joshi
prof_0058,usr_0058,Yash Mukherjee,athlete058@demo.kreedatech.local,+91 9391965908,2002-11-04,male,Bihar,Patna,Rajendra Nagar,National,Tamil Nadu Tigers,192,77,https://api.dicebear.com/7.x/avataaars/svg?seed=Yash%20Mukherjee
prof_0059,usr_0059,Rashmi Malhotra,athlete059@demo.kreedatech.local,+91 9797322349,1997-05-27,female,Uttar Pradesh,Agra,Shahganj,District,Tamil Nadu Tigers,174,68,https://api.dicebear.com/7.x/avataaars/svg?seed=Rashmi%20Malhotra
prof_0060,usr_0060,Anushka Pillai,athlete060@demo.kreedatech.local,+91 9945584071,2002-04-07,female,Tamil Nadu,Madurai,KK Nagar,National,Kerala Blasters Youth,176,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Anushka%20Pillai
prof_0061,usr_0061,Dinesh Mukherjee,athlete061@demo.kreedatech.local,+91 9712249267,2005-05-07,male,Delhi,Noida,Sector 18,District,Kolkata Runners,181,76,https://api.dicebear.com/7.x/avataaars/svg?seed=Dinesh%20Mukherjee
prof_0062,usr_0062,Anya Pawar,athlete062@demo.kreedatech.local,+91 7028102002,2005-08-09,female,West Bengal,Kolkata,Ballygunge,District,Bengaluru Bulls Youth,165,58,https://api.dicebear.com/7.x/avataaars/svg?seed=Anya%20Pawar
prof_0063,usr_0063,Shruti Menon,athlete063@demo.kreedatech.local,+91 9746854685,2006-04-17,female,Tamil Nadu,Chennai,Adyar,State,Tamil Nadu Tigers,160,53,https://api.dicebear.com/7.x/avataaars/svg?seed=Shruti%20Menon
prof_0064,usr_0064,Divya Kulkarni,athlete064@demo.kreedatech.local,+91 7010283174,2001-06-26,female,Haryana,Gurugram,DLF Phase 5,District,North East United Academy,174,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Divya%20Kulkarni
prof_0065,usr_0065,Rahul Menon,athlete065@demo.kreedatech.local,+91 8756746862,2008-01-28,male,Delhi,Noida,Greater Noida,District,Delhi Capitals Academy,188,83,https://api.dicebear.com/7.x/avataaars/svg?seed=Rahul%20Menon
prof_0066,usr_0066,Anirudh Malhotra,athlete066@demo.kreedatech.local,+91 8750633648,2002-01-06,male,Punjab,Amritsar,Mall Road,State,Goa Athletics Association,175,81,https://api.dicebear.com/7.x/avataaars/svg?seed=Anirudh%20Malhotra
prof_0067,usr_0067,Rahul Singh,athlete067@demo.kreedatech.local,+91 8859722857,2001-11-16,male,Delhi,New Delhi,Connaught Place,State,Rajasthan Royals Academy,166,63,https://api.dicebear.com/7.x/avataaars/svg?seed=Rahul%20Singh
prof_0068,usr_0068,Dhruv Khanna,athlete068@demo.kreedatech.local,+91 9991643540,1997-06-06,male,Tamil Nadu,Chennai,Anna Nagar,District,Gujarat Giants Youth,185,83,https://api.dicebear.com/7.x/avataaars/svg?seed=Dhruv%20Khanna
prof_0069,usr_0069,Kunal Malhotra,athlete069@demo.kreedatech.local,+91 7047005406,1998-11-26,male,Tamil Nadu,Coimbatore,Peelamedu,State,Mumbai Warriors AC,186,89,https://api.dicebear.com/7.x/avataaars/svg?seed=Kunal%20Malhotra
prof_0070,usr_0070,Krishna Sethi,athlete070@demo.kreedatech.local,+91 9985501258,2008-04-12,male,Haryana,Gurugram,Golf Course Road,State,Mumbai Warriors AC,183,70,https://api.dicebear.com/7.x/avataaars/svg?seed=Krishna%20Sethi
prof_0071,usr_0071,Kavya Mukherjee,athlete071@demo.kreedatech.local,+91 9369520668,2008-11-18,female,Punjab,Amritsar,Ranjit Avenue,District,Tamil Nadu Tigers,162,57,https://api.dicebear.com/7.x/avataaars/svg?seed=Kavya%20Mukherjee
prof_0072,usr_0072,Deepak Malhotra,athlete072@demo.kreedatech.local,+91 9852729951,2005-09-12,male,Punjab,Ludhiana,Civil Lines,National,Kerala Blasters Youth,185,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Deepak%20Malhotra
prof_0073,usr_0073,Yash Rao,athlete073@demo.kreedatech.local,+91 9992843209,2003-09-17,male,Telangana,Hyderabad,Jubilee Hills,State,Gujarat Giants Youth,192,83,https://api.dicebear.com/7.x/avataaars/svg?seed=Yash%20Rao
prof_0074,usr_0074,Kartik Tripathi,athlete074@demo.kreedatech.local,+91 7090325377,2008-05-18,male,Bihar,Patna,Kankarbagh,State,Hyderabad Strikers,178,69,https://api.dicebear.com/7.x/avataaars/svg?seed=Kartik%20Tripathi
prof_0075,usr_0075,Payal Khanna,athlete075@demo.kreedatech.local,+91 8712579849,2000-11-25,female,Bihar,Patna,Boring Road,State,Haryana Heroes,171,65,https://api.dicebear.com/7.x/avataaars/svg?seed=Payal%20Khanna
prof_0076,usr_0076,Vandana Sharma,athlete076@demo.kreedatech.local,+91 9820732195,1999-09-24,female,West Bengal,Kolkata,Park Street,District,North East United Academy,178,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Vandana%20Sharma
prof_0077,usr_0077,Priya Agarwal,athlete077@demo.kreedatech.local,+91 9361724329,2008-09-25,female,Uttar Pradesh,Kanpur,Civil Lines,District,North East United Academy,157,52,https://api.dicebear.com/7.x/avataaars/svg?seed=Priya%20Agarwal
prof_0078,usr_0078,Neha Gupta,athlete078@demo.kreedatech.local,+91 7035978024,2001-01-07,female,Uttar Pradesh,Agra,Shahganj,State,Kerala Blasters Youth,163,60,https://api.dicebear.com/7.x/avataaars/svg?seed=Neha%20Gupta
prof_0079,usr_0079,Shreya Chawla,athlete079@demo.kreedatech.local,+91 8779621621,2005-09-18,female,Bihar,Patna,Kankarbagh,National,Rajasthan Royals Academy,163,68,https://api.dicebear.com/7.x/avataaars/svg?seed=Shreya%20Chawla
prof_0080,usr_0080,Payal Dutta,athlete080@demo.kreedatech.local,+91 9821398828,2008-11-27,female,Punjab,Amritsar,Mall Road,District,UP Strikers,167,63,https://api.dicebear.com/7.x/avataaars/svg?seed=Payal%20Dutta
prof_0081,usr_0081,Chahat Gupta,athlete081@demo.kreedatech.local,+91 9826443228,2005-07-03,female,Bihar,Patna,Boring Road,State,UP Strikers,178,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Chahat%20Gupta
prof_0082,usr_0082,Aditya Mukherjee,athlete082@demo.kreedatech.local,+91 8865862033,1999-05-27,male,Maharashtra,Pune,Hinjewadi,State,Kerala Blasters Youth,187,79,https://api.dicebear.com/7.x/avataaars/svg?seed=Aditya%20Mukherjee
prof_0083,usr_0083,Praveen Sen,athlete083@demo.kreedatech.local,+91 9468254579,1997-11-21,male,West Bengal,Kolkata,New Town,International,Goa Athletics Association,182,78,https://api.dicebear.com/7.x/avataaars/svg?seed=Praveen%20Sen
prof_0084,usr_0084,Anirudh Bose,athlete084@demo.kreedatech.local,+91 8745907646,2001-02-20,male,Tamil Nadu,Madurai,Tallakulam,National,Kolkata Runners,168,69,https://api.dicebear.com/7.x/avataaars/svg?seed=Anirudh%20Bose
prof_0085,usr_0085,Rahul Verma,athlete085@demo.kreedatech.local,+91 8799471897,2007-06-28,male,West Bengal,Kolkata,Park Street,District,Tamil Nadu Tigers,187,82,https://api.dicebear.com/7.x/avataaars/svg?seed=Rahul%20Verma
prof_0086,usr_0086,Vihaan Malhotra,athlete086@demo.kreedatech.local,+91 9395660778,2001-01-04,male,Bihar,Patna,Rajendra Nagar,District,Delhi Capitals Academy,192,84,https://api.dicebear.com/7.x/avataaars/svg?seed=Vihaan%20Malhotra
prof_0087,usr_0087,Alok Dutta,athlete087@demo.kreedatech.local,+91 9415972621,1998-03-03,male,Karnataka,Bangalore,Indiranagar,District,Hyderabad Strikers,169,74,https://api.dicebear.com/7.x/avataaars/svg?seed=Alok%20Dutta
prof_0088,usr_0088,Sneha Shetty,athlete088@demo.kreedatech.local,+91 8757926342,2007-06-03,female,Telangana,Hyderabad,Banjara Hills,District,North East United Academy,176,65,https://api.dicebear.com/7.x/avataaars/svg?seed=Sneha%20Shetty
prof_0089,usr_0089,Deepak Verma,athlete089@demo.kreedatech.local,+91 7078082639,2001-11-16,male,West Bengal,Kolkata,Alipore,National,Bengaluru Bulls Youth,166,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Deepak%20Verma
prof_0090,usr_0090,Rashmi Nayak,athlete090@demo.kreedatech.local,+91 9785758292,2000-02-07,female,West Bengal,Kolkata,Salt Lake,District,Delhi Capitals Academy,164,59,https://api.dicebear.com/7.x/avataaars/svg?seed=Rashmi%20Nayak
prof_0091,usr_0091,Deepak Bhat,athlete091@demo.kreedatech.local,+91 9991248595,2001-12-28,male,Tamil Nadu,Chennai,Anna Nagar,National,Tamil Nadu Tigers,178,82,https://api.dicebear.com/7.x/avataaars/svg?seed=Deepak%20Bhat
prof_0092,usr_0092,Isha Joshi,athlete092@demo.kreedatech.local,+91 9951115647,2007-09-28,female,Bihar,Patna,Kankarbagh,District,Kerala Blasters Youth,161,53,https://api.dicebear.com/7.x/avataaars/svg?seed=Isha%20Joshi
prof_0093,usr_0093,Nikhil Tripathi,athlete093@demo.kreedatech.local,+91 8835024819,2004-08-06,male,Delhi,New Delhi,Saket,National,Kolkata Runners,173,78,https://api.dicebear.com/7.x/avataaars/svg?seed=Nikhil%20Tripathi
prof_0094,usr_0094,Meera Verma,athlete094@demo.kreedatech.local,+91 9979475579,2003-12-20,female,Tamil Nadu,Madurai,KK Nagar,International,Kerala Blasters Youth,155,60,https://api.dicebear.com/7.x/avataaars/svg?seed=Meera%20Verma
prof_0095,usr_0095,Ayaan Mukherjee,athlete095@demo.kreedatech.local,+91 8760025659,1998-08-21,male,Karnataka,Hubli,Keshwapur,State,Rajasthan Royals Academy,191,76,https://api.dicebear.com/7.x/avataaars/svg?seed=Ayaan%20Mukherjee
prof_0096,usr_0096,Dev Menon,athlete096@demo.kreedatech.local,+91 9731594377,1997-06-06,male,Haryana,Gurugram,Sector 56,International,Gujarat Giants Youth,184,86,https://api.dicebear.com/7.x/avataaars/svg?seed=Dev%20Menon
prof_0097,usr_0097,Rajesh Gowda,athlete097@demo.kreedatech.local,+91 8837512477,2007-03-24,male,Uttar Pradesh,Varanasi,Bhelupur,District,Bengaluru Bulls Youth,176,77,https://api.dicebear.com/7.x/avataaars/svg?seed=Rajesh%20Gowda
prof_0098,usr_0098,Rashmi Menon,athlete098@demo.kreedatech.local,+91 7029815889,2001-02-08,female,West Bengal,Kolkata,New Town,District,Kolkata Runners,163,54,https://api.dicebear.com/7.x/avataaars/svg?seed=Rashmi%20Menon
prof_0099,usr_0099,Vandana Kapoor,athlete099@demo.kreedatech.local,+91 8763898308,2007-06-16,female,Bihar,Patna,Rajendra Nagar,National,Hyderabad Strikers,163,52,https://api.dicebear.com/7.x/avataaars/svg?seed=Vandana%20Kapoor
prof_0100,usr_0100,Myra Mishra,athlete100@demo.kreedatech.local,+91 9455534762,2007-06-24,female,Karnataka,Mangalore,Bejai,State,Hyderabad Strikers,177,71,https://api.dicebear.com/7.x/avataaars/svg?seed=Myra%20Mishra
prof_0101,usr_0101,Anirudh Pandey,athlete101@demo.kreedatech.local,+91 9423629355,2002-04-10,male,Punjab,Ludhiana,Sarabha Nagar,State,Kolkata Runners,191,88,https://api.dicebear.com/7.x/avataaars/svg?seed=Anirudh%20Pandey
prof_0102,usr_0102,Nisha Gowda,athlete102@demo.kreedatech.local,+91 9978038580,1996-06-08,female,Maharashtra,Pune,Kothrud,District,Gujarat Giants Youth,168,64,https://api.dicebear.com/7.x/avataaars/svg?seed=Nisha%20Gowda
prof_0103,usr_0103,Neeraj Singh,athlete103@demo.kreedatech.local,+91 8764286342,2004-06-01,male,Haryana,Gurugram,Sector 56,District,Rajasthan Royals Academy,176,70,https://api.dicebear.com/7.x/avataaars/svg?seed=Neeraj%20Singh
prof_0104,usr_0104,Diya Chowdhury,athlete104@demo.kreedatech.local,+91 9865387710,2006-03-04,female,Bihar,Patna,Boring Road,State,Bengaluru Bulls Youth,163,59,https://api.dicebear.com/7.x/avataaars/svg?seed=Diya%20Chowdhury
prof_0105,usr_0105,Ayush Verma,athlete105@demo.kreedatech.local,+91 9883414367,2006-12-01,male,Uttar Pradesh,Lucknow,Gomti Nagar,State,UP Strikers,165,73,https://api.dicebear.com/7.x/avataaars/svg?seed=Ayush%20Verma
prof_0106,usr_0106,Karan Chowdhury,athlete106@demo.kreedatech.local,+91 9744304578,2006-01-08,male,Delhi,Noida,Greater Noida,District,Gujarat Giants Youth,180,83,https://api.dicebear.com/7.x/avataaars/svg?seed=Karan%20Chowdhury
prof_0107,usr_0107,Chahat Singh,athlete107@demo.kreedatech.local,+91 9830125179,2002-06-17,female,Delhi,New Delhi,Connaught Place,State,Tamil Nadu Tigers,157,63,https://api.dicebear.com/7.x/avataaars/svg?seed=Chahat%20Singh
prof_0108,usr_0108,Dev Chowdhury,athlete108@demo.kreedatech.local,+91 8739980039,1999-09-02,male,Haryana,Gurugram,Golf Course Road,National,Rajasthan Royals Academy,179,84,https://api.dicebear.com/7.x/avataaars/svg?seed=Dev%20Chowdhury
prof_0109,usr_0109,Divya Gupta,athlete109@demo.kreedatech.local,+91 8775480134,2006-02-24,female,Telangana,Hyderabad,Madhapur,State,Goa Athletics Association,164,69,https://api.dicebear.com/7.x/avataaars/svg?seed=Divya%20Gupta
